"attrition","training_spend","education_level","job_title","gender_male","performance_rating","boss_rating_avg","salary","overtime_per_week","traveldays_per_year","lastpromotion_months","salary_difference"
FALSE,1860,"BSc","Developer",TRUE,4,3.2,5972,7,8,23,-75.7714285714428
FALSE,2390,"MSc or MBA","Junior designer",TRUE,4,4.3,4262,7,16,24,32.7857142856919
FALSE,2018,"BSc","Associate",TRUE,4,2,5474,3,28,4,35.2307692307859
FALSE,2429,"MSc or MBA","Junior developer",TRUE,3,3.5,3967,3,8,5,45.1423611111009
FALSE,1684,"BSc","Associate",TRUE,2,1.4,4962,7,9,15,-121.344827586195
TRUE,1828,"MSc or MBA","Designer",FALSE,2,2.4,4474,2,29,9,-36.3607594936502
FALSE,1889,"DSc or PhD","Lead designer",FALSE,3,3.4,8536,6,19,19,207.923076923129
FALSE,2306,"BSc","Junior developer",FALSE,2,4,3796,3,29,19,-125.857638888898
FALSE,2090,"BSc","Developer",TRUE,3,2,5791,3,22,8,193.516666666657
FALSE,2100,"MSc or MBA","Junior designer",FALSE,4,3.6,4118,8,17,21,-111.214285714308
TRUE,1861,"MSc or MBA","Designer",TRUE,2,3.8,4435,6,20,28,-75.3607594936502
TRUE,2447,"MSc or MBA","Associate",TRUE,4,2.9,5308,4,18,23,-130.769230769214
FALSE,2124,"BSc","Business analyst",FALSE,2,3.1,3947,6,17,14,4.23232323230286
FALSE,1508,"BSc","Senior developer",FALSE,3,4.2,6953,15,21,20,229.370370370368
FALSE,2175,"BSc","Associate",TRUE,3,2,5136,3,28,16,52.6551724138053
TRUE,1882,"MSc or MBA","Developer",TRUE,1,3.7,5271,7,23,13,-326.483333333343
FALSE,1733,"BSc","Business analyst",TRUE,1,2.7,3623,8,6,32,-319.767676767698
TRUE,1818,"MSc or MBA","Junior designer",FALSE,2,2.3,3886,7,25,35,-44.969111969137
FALSE,1844,"BSc","Junior developer",TRUE,2,3.1,3821,5,29,5,-100.857638888898
FALSE,1578,"MSc or MBA","Junior designer",FALSE,3,2,4005,2,2,24,74.0308880308621
FALSE,2209,"BSc","Junior designer",TRUE,4,2.3,4272,2,19,15,42.7857142856919
FALSE,2038,"BSc","Junior designer",TRUE,3,3.1,3957,11,27,32,26.0308880308621
FALSE,1715,"MSc or MBA","Junior developer",FALSE,2,3.2,3895,3,21,15,-26.8576388888982
FALSE,2107,"BSc","Junior designer",TRUE,3,1.7,3991,3,26,18,60.0308880308621
FALSE,1926,"MSc or MBA","Senior designer",TRUE,3,1.5,6935,4,29,24,185.909090909119
FALSE,2224,"BSc","Principal consultant",FALSE,4,4.2,10103,1,11,18,-179.428571428602
FALSE,2172,"BSc","Business analyst",FALSE,2,3.2,3883,2,27,20,-59.7676767676971
FALSE,2138,"BSc","Junior designer",TRUE,3,4.6,4103,8,19,16,172.030888030863
FALSE,1905,"BSc","Junior developer",TRUE,3,3.5,3959,6,12,18,37.1423611111009
FALSE,1826,"MSc or MBA","Associate",TRUE,2,4.7,4860,2,37,16,-223.344827586195
FALSE,1948,"BSc","Business analyst",FALSE,3,2.9,4084,6,40,10,141.232323232302
FALSE,1684,"BSc","Developer",TRUE,1,3.4,5297,4,20,25,-300.483333333343
FALSE,2542,"MSc or MBA","Junior designer",FALSE,2,2.3,3833,3,7,9,-97.969111969137
FALSE,2302,"BSc","Developer",FALSE,2,1.2,5569,0,36,10,-28.4833333333427
FALSE,1719,"BSc","Junior developer",TRUE,3,3.9,4110,10,19,14,188.142361111101
FALSE,1899,"BSc","Developer",FALSE,4,4.4,5912,9,25,22,-135.771428571443
FALSE,1883,"MSc or MBA","Designer",FALSE,4,2.5,4747,8,5,20,-100.651515151496
TRUE,1979,"MSc or MBA","Junior designer",FALSE,1,2.6,3662,4,37,15,-268.969111969137
FALSE,2063,"MSc or MBA","Associate",FALSE,3,3.5,5148,2,22,13,64.6551724138053
FALSE,1989,"BSc","Business analyst",FALSE,2,4.7,3926,3,16,12,-16.7676767676971
FALSE,1944,"BSc","Junior designer",FALSE,3,4.5,4010,6,28,12,79.0308880308621
TRUE,2379,"MSc or MBA","Designer",TRUE,5,2,5086,7,14,13,238.348484848504
FALSE,1613,"MSc or MBA","Designer",TRUE,2,2.4,4339,5,36,14,-171.36075949365
FALSE,2146,"MSc or MBA","Consultant",TRUE,4,2.4,7754,10,26,23,-110.263157894759
FALSE,2031,"MSc or MBA","Junior designer",FALSE,5,3,4326,1,20,26,96.7857142856919
FALSE,2095,"BSc","Senior developer",TRUE,3,2.5,6875,2,14,11,151.370370370368
FALSE,1874,"BSc","Junior developer",FALSE,2,3.9,3766,1,16,17,-155.857638888898
FALSE,1917,"BSc","Junior developer",FALSE,3,3.9,4010,3,22,21,88.1423611111009
FALSE,1745,"BSc","Junior designer",TRUE,3,2.2,3943,1,19,19,12.0308880308621
TRUE,1732,"MSc or MBA","Designer",FALSE,3,1.2,4668,16,35,19,157.63924050635
FALSE,2076,"BSc","Junior developer",FALSE,5,3.3,4462,6,20,17,221.023622047238
FALSE,2112,"BSc","Senior developer",TRUE,4,1.4,7174,5,13,30,-72.2333333333336
FALSE,2013,"MSc or MBA","Junior designer",FALSE,2,2.7,3883,2,1,29,-47.969111969137
FALSE,2231,"BSc","Consultant",TRUE,3,1.8,7413,4,32,11,88.0428571428356
FALSE,2513,"BSc","Business analyst",FALSE,5,2.2,4355,6,17,23,113.111111111093
FALSE,1877,"MSc or MBA","Developer",TRUE,3,3.1,5679,1,6,34,81.5166666666573
FALSE,1423,"MSc or MBA","Associate",FALSE,3,2.5,5247,1,11,20,163.655172413805
TRUE,2251,"MSc or MBA","Designer",TRUE,3,3.3,4515,2,45,23,4.63924050634978
FALSE,1823,"MSc or MBA","Developer",TRUE,3,4.3,5796,9,7,22,198.516666666657
FALSE,1828,"BSc","Junior developer",FALSE,3,1.9,3974,5,23,10,52.1423611111009
TRUE,2256,"BSc","Junior developer",TRUE,4,4,4129,6,2,28,-111.976377952762
FALSE,2045,"BSc","Developer",TRUE,4,3.4,6026,10,18,25,-21.7714285714428
FALSE,2001,"BSc","Associate",TRUE,3,2.6,5224,2,18,34,140.655172413805
FALSE,2096,"BSc","Junior developer",TRUE,3,2.4,4030,5,29,15,108.142361111101
TRUE,1907,"MSc or MBA","Business analyst",TRUE,4,3.1,4102,12,19,24,-139.888888888907
